What is your current job title?,Which of the following functions best describes your role?,What industry sector does your company operate in?,Please select the region where your company is headquartered.,What is your company’s estimated annual revenue?,What is your company’s total number of employees?,How long has your company been operating?,What is your team’s primary measure of success?,"Besides Sourced Revenue, how else does your company measure partner influence impact?_Close rates","Besides Sourced Revenue, how else does your company measure partner influence impact?_Deal size","Besides Sourced Revenue, how else does your company measure partner influence impact?_Customer satisfaction","Besides Sourced Revenue, how else does your company measure partner influence impact?_Product adoption","Besides Sourced Revenue, how else does your company measure partner influence impact?_Retention","Besides Sourced Revenue, how else does your company measure partner influence impact?_Expansion","Besides Sourced Revenue, how else does your company measure partner influence impact?_We don’t measure Partner Influence impact","Besides Sourced Revenue, how else does your company measure partner influence impact?_Other – please specify",What is your team’s main goal for partnerships in the next 12 months?,"On average, what percentage of your company’s revenue is expected to come from partnerships in the next 12 months?",How are you forecasting your performance against your goals for the next 12 months?,How aligned are your partnership goals with your company’s overall business goals?,What is the most likely reason your Partnerships team could miss its goals in the next 12 months?,How much focus will your company put on Partnerships in the next 12 months?,"If you had to make one strategic bet in the next 12 months, what would it be?",Which of the following best describes your executive team’s expectations of partnerships?,How does your average deal size involving partners compare to direct or non-partner deals?,How does your customer acquisition cost (CAC) from partners compared to direct sales and marketing?,How does your partner-led sales cycle compare to your direct sales cycle?,What’s your win rate for deals where partners are involved?,What is your retention rate for partner-referred customers?,What is your ideal ratio of referrals you send to partners vs what you receive?,How long has your company had a partnership program?,How many total partners do you have?,How many active partners generated revenue in the last 12 months?,How long does it typically take for a partnership to generate revenue after the first meeting?,What's your biggest challenge in scaling your partner program?,"Which of the following Partnership types does your company have?_Channel Partnerships – Partners who resell or distribute your product (e.g., resellers, VARs)",Which of the following Partnership types does your company have?_Product Partnerships – Partners who integrate with or build on top of your product,Which of the following Partnership types does your company have?_Solution Partnerships – Partners who combine your product with services or other tools into a full solution,Which of the following Partnership types does your company have?_Marketplace Partnerships – Partners who list your product on third party platforms or app stores,Which of the following Partnership types does your company have?_Affiliate Partnerships – Partners who drive traffic or leads in exchange for commission,Which of the partnership types you selected above has the most impact on your organization?,"Which partnership types are you planning to expand into (that you're not currently working with)_Channel Partnerships – Partners who resell or distribute your product (e.g., resellers, VARs)",Which partnership types are you planning to expand into (that you're not currently working with)_Product Partnerships – Partners who integrate with or build on top of your product,Which partnership types are you planning to expand into (that you're not currently working with)_Solution Partnerships – Partners who combine your product with services or other tools into a full solution,Which partnership types are you planning to expand into (that you're not currently working with)_Marketplace Partnerships – Partners who list your product on third-party platforms or app stores,Which partnership types are you planning to expand into (that you're not currently working with)_Affiliate Partnerships – Partners who drive traffic or leads in exchange for commission,Which marketplaces is your company listed in?_AWS,Which marketplaces is your company listed in?_Google Cloud,Which marketplaces is your company listed in?_Microsoft Azure,Which marketplaces is your company listed in?_Oracle,Which marketplaces is your company listed in?_Snowflake,Which marketplaces is your company listed in?_ServiceNow,Which marketplaces is your company listed in?_Salesforce,Which marketplaces is your company listed in?_Workday,Which marketplaces is your company listed in?_SAP,Which marketplaces is your company listed in?_IBM,Which marketplaces is your company listed in?_Other – please specify,Which marketplaces is your company listed in?_Not sure,What percentage of your total revenue comes through cloud marketplaces?,What’s the biggest challenge in your marketplace partnerships?,Do your partners currently implement your solution on behalf of your customers?,How long does it usually take for a partner to implement your solution?,What is the average cost for a partner to implement your solution for a customer?,Do your partners charge customers directly for implementation services?,Who does the majority of your partner organization report to?,How many people are on your Partnerships team?,Which of the following best describes your partner team’s structure?,What roles exist on your Partner Team?_Partner Management,What roles exist on your Partner Team?_Partner Operations,What roles exist on your Partner Team?_Partner Enablement,What roles exist on your Partner Team?_Partner Marketing,What roles exist on your Partner Team?_Partner Sales,What roles exist on your Partner Team?_Partner Development,What roles exist on your Partner Team?_Other – please specify,"If you could only add one supporting Partnerships role in the next 12 months, which would it be?",How much do you expect your Partner Team to grow in the next 12 months?,What is the size of your Partnerships team’s annual budget (including headcount)?,"What are the top 3 budget line items for your Partnerships organization, excluding headcount?_Partner Tools & Technology","What are the top 3 budget line items for your Partnerships organization, excluding headcount?_L&D (Learning & Development)","What are the top 3 budget line items for your Partnerships organization, excluding headcount?_Travel & Events","What are the top 3 budget line items for your Partnerships organization, excluding headcount?_Incentives & Rewards","What are the top 3 budget line items for your Partnerships organization, excluding headcount?_Co-marketing Funds","What are the top 3 budget line items for your Partnerships organization, excluding headcount?_Partner Programs & Engagement","What are the top 3 budget line items for your Partnerships organization, excluding headcount?_Other – please specify",Does your company offer incentives to partners?,What type of incentive do you offer to partners?,Which type of incentive do you believe is most effective in driving partner engagement?,What specific financial incentive is most effective?,What specific non-financial incentive is most effective?,Do you currently use any technology or automation tools to manage your partner ecosystem?,Which areas of your partner program are currently supported by technology or automation?_Partner Program Management,Which areas of your partner program are currently supported by technology or automation?_Partner Management,Which areas of your partner program are currently supported by technology or automation?_Partner Recruitment & Onboarding,Which areas of your partner program are currently supported by technology or automation?_Partner Enablement,Which areas of your partner program are currently supported by technology or automation?_Marketplace,Which areas of your partner program are currently supported by technology or automation?_Co-Sell,Which areas of your partner program are currently supported by technology or automation?_Not sure,Which areas of your partner program are currently supported by technology or automation?_Other – please specify,"What tools do you currently use to manage your partnerships?_CRM software (Salesforce, HubSpot, etc.)",What tools do you currently use to manage your partnerships?_Dedicated PRM software,What tools do you currently use to manage your partnerships?_Account mapping tools,What tools do you currently use to manage your partnerships?_Spreadsheets/manual tracking,What tools do you currently use to manage your partnerships?_Marketing automation platforms,What tools do you currently use to manage your partnerships?_Custom-built solutions,What tools do you currently use to manage your partnerships?_Other – please specify,What tools do you currently use to manage your partnerships?_Not sure,"Which platforms do you plan to use more, less, or steady? _Amplify_Column2","Which platforms do you plan to use more, less, or steady? _Channelscaler [Formerly Channel Mechanics and Allbound]_Column2","Which platforms do you plan to use more, less, or steady? _Crossbeam_Column2","Which platforms do you plan to use more, less, or steady? _Euler_Column2","Which platforms do you plan to use more, less, or steady? _Impartner_Column2","Which platforms do you plan to use more, less, or steady? _Journeybee_Column2","Which platforms do you plan to use more, less, or steady? _Kiflo PRMx_Column2","Which platforms do you plan to use more, less, or steady? _Partner Elevate_Column2","Which platforms do you plan to use more, less, or steady? _Partner Fleet_Column2","Which platforms do you plan to use more, less, or steady? _Partner Optimizer_Column2","Which platforms do you plan to use more, less, or steady? _Partner Utopia_Column2","Which platforms do you plan to use more, less, or steady? _PartnerStack_Column2","Which platforms do you plan to use more, less, or steady? _P2P Global_Column2","Which platforms do you plan to use more, less, or steady? _Qollabi_Column2","Which platforms do you plan to use more, less, or steady? _Salesforce PRM_Column2","Which platforms do you plan to use more, less, or steady? _Tackle.io_Column2","Which platforms do you plan to use more, less, or steady? _Workspan_Column2","Which platforms do you plan to use more, less, or steady? _Zugit_Column2",How would you rate the overall value your current partner tools provide to your organization?,How do you expect your use of technology and automation to change in the next 12 months?,Are you currently using AI in your partner organization?,Which AI tools are you currently using to support partner activities?_AirGapAI,Which AI tools are you currently using to support partner activities?_ChatGpt,Which AI tools are you currently using to support partner activities?_Clay,Which AI tools are you currently using to support partner activities?_Claude,Which AI tools are you currently using to support partner activities?_Copy.ai,Which AI tools are you currently using to support partner activities?_Descript,Which AI tools are you currently using to support partner activities?_Gamma,Which AI tools are you currently using to support partner activities?_Other – please specify,Which AI tools are you currently using to support partner activities?_Gemini,Which AI tools are you currently using to support partner activities?_Glean,Which AI tools are you currently using to support partner activities?_Gong,Which AI tools are you currently using to support partner activities?_HeyGen,Which AI tools are you currently using to support partner activities?_Lavender,Which AI tools are you currently using to support partner activities?_Manus.im,Which AI tools are you currently using to support partner activities?_NotebookLM,Which AI tools are you currently using to support partner activities?_Perplexity,Which AI tools are you currently using to support partner activities?_Replit,Which AI tools are you currently using to support partner activities?_I don't have this data,What is your primary goal for using technology and automation in your partner program?,What is the biggest challenge your organization faces in adopting AI and automation?,What level of training or enablement is provided to your partners?,How do you measure partner satisfaction?_Regular partner surveys,How do you measure partner satisfaction?_Net Promoter Score (NPS),How do you measure partner satisfaction?_Partner advisory boards,How do you measure partner satisfaction?_Quarterly business reviews,How do you measure partner satisfaction?_Support ticket analysis,How do you measure partner satisfaction?_Partner portal engagement metrics,How do you measure partner satisfaction?_We don't formally measure satisfaction,How do you measure partner satisfaction?_Other – please specify,How do you measure partner satisfaction?_I don't have this data,What aspects of your current partner engagement strategy are working well?,What aspects are not working or need improvement?,Describe how your partnership strategy has evolved over the past 2 years and what drove those changes.,"Describe how AI could change your partner relationships and business model, beyond just operational efficiency.",Do you have any additional feedback or comments you'd like to share?
VP Channel &amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp; Partnerships,"Organizational Leader – Leads a team or department (e.g., Head of Partnerships, VP of Ops)",Technology / Software / IT,North America (NA),$250M – $1B,"501 – 5,000 employees",More than 10 years,Sourced Revenue/Pipeline,0,0,0,0,0,1,0,0,Expand Ecosystem Reach,30,Less than 50%,Somewhat Aligned,Companies merging,Increase focus on partnerships,Pursuing new strategic partner(s),Strategic - Partnerships are seen as a core strategic asset; fully integrated across company vision and execution,Not sure,I don't have this data,Shorter than direct sales,30,60,1:2 — We receive more than we send,3-5 years,50 – 499,10 – 99,Less than 1 year,Resource constraints,1,1,0,0,1,"Channel Partnerships – Partners who resell or distribute your product (e.g., resellers, VARs)",1,1,0,1,0,,,,,,,,,,,,,,,No,,,,Chief Strategy Officer (CSO),Less than 10,Centralized – The partner team is managed in a single global structure,1,0,1,0,0,1,,Partner Marketing,26–50% increase,I don't have this data,0,0,1,0,1,1,,Yes,Financial incentives,A mix of both,Revenue share,Receiving new customer referrals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel team,Leaders,Technology / Software / IT,Latin America (LATAM),$50M – $250M,"501 – 5,000 employees",5 – 10 years,Partner Acquisition,,,,,,,,,Improve Partner Enablement,10,Less than 50%,Neutral,Weak Team Execution,Increase focus on partnerships,Scaling the partner program,"Transactional - Partnerships focus on single goals like sourced revenue; short term, tactical view",Lower than direct deals,Partner Referred CAC is higher,Longer than direct sales,7,70,Varies depending on partner,6-10 years,Less than 50,Less than 10,Less than 1 year,Difficulty recruiting the right partners,1,0,0,1,0,"Channel Partnerships – Partners who resell or distribute your product (e.g., resellers, VARs)",0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,,0,Less than 5%,Difficulty tracking ROI or proving business impact,No,,,,Chief Strategy Officer (CSO),Less than 10,"Hybrid – A mix of centralized, regional, and functional structures",1,0,0,0,0,1,,Partner Sales,11–25% increase,Less than $1M,0,0,1,1,1,0,,Yes,A mix of both,Financial incentives,Flat fee per sale,,Yes,1,0,0,0,0,0,0,,1,0,0,1,1,0,,0,We don’t use this tool,We don’t use this tool,Use more,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,Moderate,Somewhat increase,No,,,,,,,,,,,,,,,,,,,,,Informal/ad hoc,0,0,0,0,0,0,1,,0,,,,,
CEO,Leaders,Technology / Software / IT,North America (NA),Less than $50 million,Less than 100 employees,1 – 5 years,Partner Acquisition,,,,,,,,,Expand Ecosystem Reach,100,More than 100%,Very Aligned,Impact of AI coupled with proper partner attribution modeling + alignment,Increase focus on partnerships,Enabling existing partners,Strategic - Partnerships are seen as a core strategic asset; fully integrated across company vision and execution,Higher than direct deals,Partner Referred CAC is higher,Shorter than direct sales,70,95,Varies depending on partner,More than 10 years,50 – 499,10 – 99,Less than 1 year,Lack of internal alignment,1,1,1,1,1,"Channel Partnerships – Partners who resell or distribute your product (e.g., resellers, VARs)",1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,,0,More than 50%,Limited support from the marketplace team,Yes,1-3 months,$50K – $150K,Yes,Chief Revenue Officer (CRO),Less than 10,"Regional – Partner teams are organized by geography, with regional ownership",1,1,1,1,0,0,,Partner Operations,Over 50% increase,Less than $1M,1,0,1,0,0,1,,Yes,A mix of both,A mix of both,Revenue share,Co-marketing opportunities,Yes,0,1,0,0,1,1,0,,1,1,1,1,1,0,,0,We don’t use this tool,Use less,Use more,Use more,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,Use more,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,Moderate,Significantly increase,Yes,0,1,0,0,0,0,0,,1,0,1,0,0,0,0,1,0,0,Reduce manual workload,Budget limitations,Informal/ad hoc,1,0,1,1,0,0,0,,0,Channel expansion through ecosystem advisory partners,"Sell with collaboration with top of ecosystem marketplace team, due to poor overall support",More channel (resell) focused versus strategic alliances (referral),"Hard to tell, it's moving so fast, moving target",
Partnerships Lead,"Organizational Leader – Leads a team or department (e.g., Head of Partnerships, VP of Ops)",Education,Latin America (LATAM),Less than $50 million,100 – 500 employees,More than 10 years,Sourced Revenue/Pipeline,1,0,0,0,0,1,0,1,Strengthen Partner Collaboration,25,Less than 50%,Somewhat Aligned,Lack of Resources,Increase focus on partnerships,Pursuing new strategic partner(s),Integrated - Partnerships support multiple business goals and are included in broader planning,Higher than direct deals,Partner Referred CAC is lower,Not sure / No direct sales motion,25,0,We don’t track this,3-5 years,500 – 999,100 – 499,Less than 1 year,Resource constraints,1,0,0,0,0,"Channel Partnerships – Partners who resell or distribute your product (e.g., resellers, VARs)",0,1,1,0,1,,,,,,,,,,,,,,,No,,,,Chief Growth Officer (CGO),Less than 10,"Regional – Partner teams are organized by geography, with regional ownership",0,0,0,0,0,0,Strategic Partnerships Analysts,Partner Marketing,No change,$1M – $5M,1,1,0,0,0,1,,No,,,,,Yes,0,1,0,0,0,0,0,,1,0,0,1,0,0,,0,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,Low,Somewhat increase,Yes,0,1,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,Increase efficiency,Lack of expertise,Informal/ad hoc,1,0,0,1,0,0,0,,0,"What works well in our current partner engagement strategy is a mix of structured communication, tangible value delivery, and clear reporting.

We activate each partnership with tailored promotions and keep benefits “always on” through the partner’s internal or external channels. This helps ensure visibility and continuous traffic.

We also provide monthly reports with key metrics such as usage of the benefit, traffic driven, sales generated, and the top courses purchased. This data-driven approach helps us keep partners engaged, prove ROI, and identify new opportunities together.

Finally, we strengthen trust and retention by collaborating on co-branded initiatives like workshops, certifications, or joint campaigns. This allows partners not only to promote learning but also to showcase their brand as part of our students’ education journey.","One area that still needs improvement is partner communication and activation in markets where our brand is less recognized. While we provide ongoing benefits and campaigns, partners sometimes deprioritize communication as they manage multiple offerings for their audiences.

Another area is ensuring consistent tracking and reporting. Not all partners use our tracking links or tools, which limits visibility into true performance. We’re working on building stronger processes and incentives to improve adoption.","Over the past two years, our strategy has shifted from purely discount-driven partnerships to a model that emphasizes co-branding, certification, and community engagement.

We realized that driving revenue through partnerships requires more than just offering benefits. By having companies certify our courses, co-host workshops, or integrate into our platform, we create tangible value and trust for students while giving partners deeper brand visibility and talent pipelines.

This evolution was driven by the need to increase brand awareness in competitive markets and to ensure partnerships contribute not only to sales but also to long-term positioning.","AI will fundamentally change the way we design partnerships. With our upcoming AI-powered platform, we can personalize learning paths in real time, ensuring that partner content, tools, or certifications are always up to date and relevant.

This means partners can integrate more seamlessly into the student journey, with content refreshed in hours instead of months. AI also allows us to identify patterns in student demand and propose collaborations with partners that directly match market needs.

Ultimately, AI enables partnerships to move from transactional to dynamic and adaptive relationships, where value for students and partners is continuously optimized.","We see partnerships as one of the most powerful drivers of growth for EdTech. At Coderhouse, partnerships already account for a significant share of new students and revenue, but more importantly, they allow us to bridge companies, talent, and education in a scalable way.

We’d love to see more industry benchmarks and case studies around partnerships not just as sales channels, but as strategic levers for trust, talent development, and brand building."
"Global Head, SaaS Vertical",Leaders,Technology / Software / IT,North America (NA),$1B – $10B,"More than 5,000 employees",More than 10 years,Sourced Revenue/Pipeline,1,1,1,0,1,1,0,0,Expand Ecosystem Reach,40,More than 100%,Very Aligned,Change of buyer's journey,Increase focus on partnerships,Pursuing new strategic partner(s),Strategic - Partnerships are seen as a core strategic asset; fully integrated across company vision and execution,Higher than direct deals,Partner Referred CAC is lower,Shorter than direct sales,65,113,Varies depending on partner,6-10 years,500 – 999,500 – 999,Less than 1 year,Operational efficiency,1,1,1,1,1,"Channel Partnerships – Partners who resell or distribute your product (e.g., resellers, VARs)",1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,,0,5–15%,Difficulty tracking ROI or proving business impact,Yes,1-3 months,$15K – $50K,Yes,Chief Partnerships Officer (CPO),51–200,"Regional – Partner teams are organized by geography, with regional ownership",1,1,1,1,1,1,,Partner Development,11–25% increase,$5M – $25M,1,0,0,1,0,1,,Yes,A mix of both,A mix of both,Revenue share,Creating new business offerings,Yes,1,1,1,1,0,1,0,,1,0,1,0,1,0,,0,We don’t use this tool,We don’t use this tool,Use more,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,Use less,We don’t use this tool,We don’t use this tool,We don’t use this tool,Moderate,No change,Yes,0,1,0,1,0,0,1,,0,0,0,0,0,0,0,0,0,0,Drive more partner-sourced revenue,Privacy of data,Structured enablement,0,1,1,1,1,0,0,,0,,,,,
"VP, Global Channel Sales & Strategic Alliances","Organizational Leader – Leads a team or department (e.g., Head of Partnerships, VP of Ops)",Technology / Software / IT,North America (NA),Less than $50 million,100 – 500 employees,5 – 10 years,Sourced Revenue/Pipeline,0,1,0,0,0,0,0,1,Increase Sourced Revenue,10,75–100%,Very Aligned,Weak Team Execution,Increase focus on partnerships,Enabling existing partners,Strategic - Partnerships are seen as a core strategic asset; fully integrated across company vision and execution,About the same,We can’t measure Partner Referred CAC yet,Shorter than direct sales,20,95,1:2 — We receive more than we send,Less than 1 year,Less than 50,Less than 10,Less than 1 year,Operational efficiency,1,0,1,0,0,Solution Partnerships – Partners who combine your product with services or other tools into a full solution,1,0,0,0,0,,,,,,,,,,,,,,,No,,,,Chief Strategy Officer (CSO),Less than 10,Centralized – The partner team is managed in a single global structure,1,0,0,1,0,0,,Partner Sales,Over 50% increase,Less than $1M,0,1,1,0,1,0,,No,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,0,0,0,0,0,0,0,Chorus for meeting transcription and analysis,0,0,0,0,0,0,0,0,0,0,Reduce manual workload,Lack of expertise,Structured enablement,0,1,1,0,0,0,0,,0,,,,,
Sr. Partner Marketing Manager,Individual Contributor – Manages partners but does not lead a team,Technology / Software / IT,North America (NA),$50M – $250M,"501 – 5,000 employees",More than 10 years,Sourced Revenue/Pipeline,0,0,0,0,0,0,1,0,Increase Sourced Revenue,10,More than 100%,Somewhat Aligned,Lack of Resources,Increase focus on partnerships,Pursuing new strategic partner(s),Integrated - Partnerships support multiple business goals and are included in broader planning,About the same,We can’t measure Partner Referred CAC yet,About the same,30,95,1:2 — We receive more than we send,3-5 years,Less than 50,Less than 10,Less than 1 year,Resource constraints,0,1,1,1,0,Product Partnerships – Partners who integrate with or build on top of your product,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,5–15%,Low visibility / discoverability within the marketplace,Yes,1-3 months,$50K – $150K,Yes,Chief Operating Officer (COO),Less than 10,Centralized – The partner team is managed in a single global structure,1,0,0,1,0,0,,Partner Operations,0–10% increase,$1M – $5M,1,0,1,0,1,0,,No,,,,,Yes,0,1,0,0,0,0,0,,1,0,0,1,1,0,,0,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,Use more,We don’t use this tool,We don’t use this tool,We don’t use this tool,Low,Somewhat increase,Yes,0,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,Increase efficiency,Lack of expertise,Informal/ad hoc,0,0,0,0,0,0,1,,0,We primarily work with SAP as technology (build) partner. This relationship has served us well as many of our core customers in our ICP use SAP in their environments. We have co-marketing funds from SAP that we can leverage.,"Hard to get attention from SAP because they have many partners in their ecosystem and we are relatively small in comparison. Also, would be nice to build out more SI partner relationships as they are influencers often in our deals.",We measure partner sourced revenue coming from the SAP Store and track the funnel closely.,,Would like to continue to see additional partner marketing resources on your sites/events as this is my area of expertise.
Founder,"Organizational Leader – Leads a team or department (e.g., Head of Partnerships, VP of Ops)",Technology / Software / IT,Asia-Pacific (APAC),Less than $50 million,Less than 100 employees,Less than 1 year,Lead Generation,,,,,,,,,Strengthen Partner Collaboration,30,50–75%,Very Aligned,Executive Misalignment,Increase focus on partnerships,Scaling the partner program,Strategic - Partnerships are seen as a core strategic asset; fully integrated across company vision and execution,About the same,Partner Referred CAC is lower,Shorter than direct sales,30,30,1:1 — Equal number of referrals both ways,Less than 1 year,Less than 50,Less than 10,Less than 1 year,Difficulty recruiting the right partners,1,1,1,1,1,Solution Partnerships – Partners who combine your product with services or other tools into a full solution,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,A-Lign,0,5–15%,Misalignment between our product and the marketplace audience,No,,,,Chief Executive Officer (CEO),Less than 10,"Regional – Partner teams are organized by geography, with regional ownership",0,0,0,1,1,1,,Partner Sales,26–50% increase,Less than $1M,1,0,0,1,0,1,,Yes,Financial incentives,Financial incentives,Revenue share,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Structured enablement,0,0,0,1,1,1,0,,0,Looking for partnership in generating leads and revenue.,Internal structuring.,Little,Need to analyse.,Want to discuss more points.
VP Ecosystem,Leaders,Technology / Software / IT,"Europe, Middle East, and Africa (EMEA)",$1B – $10B,"501 – 5,000 employees",More than 10 years,Sourced Revenue/Pipeline,1,0,0,0,0,0,0,0,Increase Sourced Revenue,30,More than 100%,Very Aligned,Executive Misalignment,Maintain current focus,Scaling the partner program,"Transactional - Partnerships focus on single goals like sourced revenue; short term, tactical view",Higher than direct deals,Partner Referred CAC is higher,Longer than direct sales,50,92,2:1 — We send more than we receive,3-5 years,Less than 50,Less than 10,Less than 1 year,Lack of internal alignment,1,0,1,0,1,Solution Partnerships – Partners who combine your product with services or other tools into a full solution,0,0,1,0,1,,,,,,,,,,,,,,,Yes,1-3 months,$50K – $150K,Yes,Chief Partnerships Officer (CPO),10–50,"Regional – Partner teams are organized by geography, with regional ownership",1,0,1,1,1,0,,Partner Operations,11–25% increase,Less than $1M,0,1,1,1,0,0,,Yes,Financial incentives,A mix of both,Revenue share,Receiving new customer referrals,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,0,0,0,0,0,0,0,dust,0,0,0,0,0,0,0,0,0,0,Improve partner experience,Lack of expertise,Structured enablement,0,0,0,0,0,0,1,,0,Open to work with partners,partner program-partner experience,renewed focus on partner impact on the business,reduce manual work to capure and manage relevant information,"share the complete report please, in excahnge for the value of the sahred informationa nd the valuable time invested."
Partnerships Manager,"Organizational Leader – Leads a team or department (e.g., Head of Partnerships, VP of Ops)",Technology / Software / IT,North America (NA),Less than $50 million,Less than 100 employees,1 – 5 years,Lead Generation,,,,,,,,,Increase Sourced Revenue,30,More than 100%,Very Aligned,Lack of Resources,Increase focus on partnerships,Pursuing new strategic partner(s),"Transactional - Partnerships focus on single goals like sourced revenue; short term, tactical view",Higher than direct deals,Partner Referred CAC is lower,Shorter than direct sales,19,70,We don’t track this,1-2 years,500 – 999,100 – 499,Less than 1 year,Poor partner engagement,0,0,0,1,1,Affiliate Partnerships – Partners who drive traffic or leads in exchange for commission,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,Hubspot,0,Less than 5%,Low visibility / discoverability within the marketplace,Yes,More than 3 months,Less than $15K,No,Chief Revenue Officer (CRO),Less than 10,Centralized – The partner team is managed in a single global structure,1,0,0,0,0,0,,Partner Sales,Over 50% increase,Less than $1M,1,1,0,0,0,1,,Yes,A mix of both,A mix of both,Revenue share,"Training, enablement, and support",Yes,1,0,1,0,0,0,0,,1,1,1,0,0,0,,0,We don’t use this tool,We don’t use this tool,Use more,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,No change,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,We don’t use this tool,Moderate,Somewhat increase,Yes,0,1,0,0,0,0,0,Amplemarket,0,0,0,0,0,0,0,1,0,0,Reduce manual workload,Budget limitations,Structured enablement,0,0,0,0,0,0,1,,0,,,,,
